query,entity_1,predicate_1,entity_2,predicate_2,sparql_query
Which architect of Marine Corps Air Station Kaneohe Bay was also tenant of New Sanno hotel /',New_Sanno_Hotel,tenant,Marine_Corps_Air_Station_Kaneohe_Bay,built, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Marine_Corps_Air_Station_Kaneohe_Bay> <http://dbpedia.org/property/architect> ?uri. <http://dbpedia.org/resource/New_Sanno_Hotel> <http://dbpedia.org/ontology/tenant> ?uri} 
Which sects people are part of local political parties which fall under the International Muslim Brotherhood?,Muslim_Brotherhood,otherParty,,,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/international> <http://dbpedia.org/resource/Muslim_Brotherhood> . ?x <http://dbpedia.org/ontology/religion> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/PoliticalParty>}
List common systems are developed by of the Google Videos and written by of the Google Web Toolkit ?,Google_Videos,yearOfSiteAppearance,Google_Web_Toolkit,operatingSystem, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Google_Videos> <http://dbpedia.org/property/developer> ?uri. <http://dbpedia.org/resource/Google_Web_Toolkit> <http://dbpedia.org/ontology/author> ?uri} 
For which games are Sam Loyd and Eric Schiller both famous?,Eric_Schiller,id,Sam_Loyd,deathYear,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Sam_Loyd> <http://dbpedia.org/ontology/knownFor> ?uri. <http://dbpedia.org/resource/Eric_Schiller> <http://dbpedia.org/ontology/knownFor> ?uri . }
Name the artist who made Dream Dancing and is often associated with Joe Pass?,Joe_Pass,landscape,Dream_Dancing,genre,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Joe_Pass> <http://dbpedia.org/ontology/associatedBand> ?uri. <http://dbpedia.org/resource/Dream_Dancing_(album)> <http://dbpedia.org/property/artist> ?uri . }
Who is the office holder with deputies as Neil Brown and Andrew Peacock?,Neil_Brown_(Australian_politician),deputy,Andrew_Peacock,deputy,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/property/deputy> <http://dbpedia.org/resource/Neil_Brown_(Australian_politician)> . ?uri <http://dbpedia.org/property/deputy> <http://dbpedia.org/resource/Andrew_Peacock> . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/OfficeHolder>}
Where did these popular aeroplanes - Focke Wulf 260 and Start+Flug H 101 originate?,Focke-Wulf_Fw_260,eng2Number,Start_+_Flug_H-101,neverExceedSpeedNote,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Focke-Wulf_Fw_260> <http://dbpedia.org/property/nationalOrigin> ?uri. <http://dbpedia.org/resource/Start_+_Flug_H-101> <http://dbpedia.org/property/nationalOrigin> ?uri . }
Which television show 's producer is Stephen E. Ambrose and written by Erik Jendresen?,Erik_Jendresen,executiveProducer,Stephen_E._Ambrose,producer,SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/producer> <http://dbpedia.org/resource/Stephen_E._Ambrose> . ?uri <http://dbpedia.org/property/writer> <http://dbpedia.org/resource/Erik_Jendresen>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>}
Who created the Women in the Garden and also the L'Enfant a la tasse ?,Women_in_the_Garden,imperialUnit,L'Enfant_a_la_tasse,heightImperial,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Women_in_the_Garden> <http://dbpedia.org/property/artist> ?uri. <http://dbpedia.org/resource/L'Enfant_a_la_tasse> <http://dbpedia.org/property/artist> ?uri . }
Which famous horserace has seen both Fergie sutherland and the illustrious War of Attrition?,Fergie_Sutherland,raceHorse,War_of_Attrition,isPartOfMilitaryConflict,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/War_Of_Attrition_(horse)> <http://dbpedia.org/property/race> ?uri. <http://dbpedia.org/resource/Fergie_Sutherland> <http://dbpedia.org/property/race> ?uri . }
Tell me the name of the Prime Time Entertainment Network's TV show whose Artist is Christopher Franke ?,Christopher_Franke,allWriting,Prime_Time_Entertainment_Network,formerBroadcastNetwork,SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/artist> <http://dbpedia.org/resource/Christopher_Franke> . ?uri <http://dbpedia.org/ontology/network> <http://dbpedia.org/resource/Prime_Time_Entertainment_Network>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>}
How many other battles have the military person fought whose one of the battles is World War II ?,World_War_II,battles,,, SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/property/battles> <http://dbpedia.org/resource/World_War_II> . ?x <http://dbpedia.org/property/battles> ?uri }
Whose network's parent organisation is Comcast?,Comcast,network,Free_Stuff,,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/parentOrganisation> <http://dbpedia.org/resource/Comcast> . ?uri <http://dbpedia.org/ontology/network> ?x  . }
Which cport of Vishwajyot High School is also the genere of Battle chess ,Vishwajyot_High_School,numberOfStudents,Battle_Chess,computingPlatform, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Battle_Chess> <http://dbpedia.org/property/genre> ?uri. <http://dbpedia.org/resource/Vishwajyot_High_School> <http://dbpedia.org/ontology/sport> ?uri} 
Who was in the missions of Apollo 11 and Gemini 8?,Apollo_11,previousMission,Gemini_8,previousMission,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/property/mission> <http://dbpedia.org/resource/Apollo_11> . ?uri <http://dbpedia.org/property/mission> <http://dbpedia.org/resource/Gemini_8> . }
