query,entity,predicate,sparql_query
In which state is the Channel district?,Channel_District,state,3.733354118088568, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Channel_District> <http://dbpedia.org/ontology/state> ?uri } 
Where can one find the Dzogchen Ponolop Rinpoche?,Dzogchen_Rinpoche,t,3.019883128963556, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Dzogchen_Ponlop_Rinpoche> <http://dbpedia.org/property/location> ?uri } 
What is the route end of Birmingham and Oxford Junction Railway ?,Birmingham_and_Oxford_Junction_Railway,gauge,2.8758765091091556, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Birmingham_and_Oxford_Junction_Railway> <http://dbpedia.org/ontology/routeEnd> ?uri } 
Where did Whitney Wistert debut?,Whitey_Wistert,debutyear,3.0772122094195176, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Whitey_Wistert> <http://dbpedia.org/property/debutteam> ?uri } 
Who are the current members of Insects vs Robots?,Insects_vs_Robots,background,1.2987114235935913, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Insects_vs_Robots> <http://dbpedia.org/property/currentMembers> ?uri } 
Name the nationalteam of Trn Vit Hng ?,Pa-Hng_language,altname,2.648079953274619, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Trần_Việt_Hương> <http://dbpedia.org/property/nationalteam> ?uri } 
Whihc uni did Joshua A. Siegel attend ?,Joshua_A._Siegel,education,2.3478757850102623, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Joshua_A._Siegel> <http://dbpedia.org/property/education> ?uri } 
Name the nearest city to David W. Brown House ?,David_W._Brown_House,added,2.684045150786559, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/David_W._Brown_House> <http://dbpedia.org/ontology/nearestCity> ?uri } 
where did Deion Sanders debut?,Deion_Sanders,finaldate,2.1196023976712537, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Deion_Sanders> <http://dbpedia.org/property/debutteam> ?uri } 
What cities are nearer to Fuountain Lake Farm?,Crystal_Lake_Wind_Farm,status,1.2662036182628456, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Fountain_Lake_Farm> <http://dbpedia.org/property/nearestCity> ?uri } 
Who are the characters of Batman Live?,Batman_Live,homepage,0.41360594806793066, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Batman_Live> <http://dbpedia.org/property/characters> ?uri } 
what awards have been given to A. Peter Dewey?,A._Peter_Dewey,award,4.416105225072686, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/A._Peter_Dewey> <http://dbpedia.org/ontology/award> ?uri } 
what has been developed by John Fanning?,,,-inf, SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/developer> <http://dbpedia.org/resource/John_Fanning_(businessman)> } 
What is the faith of Kwai Chang Caine ?,Kwai_Chang_Caine,religion,2.601260520978217, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Kwai_Chang_Caine> <http://dbpedia.org/ontology/religion> ?uri } 
List the ethnicity of Riley Reid?,Riley_Reid,ethnicity,5.832890014164741, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Riley_Reid> <http://dbpedia.org/property/ethnicity> ?uri } 
How many things are written in C++?,,,-inf,SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/property/programmingLanguage> <http://dbpedia.org/resource/C++>  . }
"What are the hubs of PLUS Helicopter Services, a highway helicopter unit of PLUS Expressways?",Expressways_of_Singapore,maint,3.24474980155169, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/PLUS_Expressways> <http://dbpedia.org/property/hubs> ?uri } 
Who is the partner of Rob Patterson?,Rob_Patterson,partner,6.318316841334983,SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/partner> <http://dbpedia.org/resource/Rob_Patterson>  . }
To which american football teams does the Heinz Field serve as home stadium?,Heinz_Field,publictransit,3.4446823066359236, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Heinz_Field> <http://dbpedia.org/property/tenants> ?uri } 
In which city did The Ultimate Fighter: Team Rousey vs. Team Tate take place ?,The_Ultimate_Fighter:_Team_Rousey_vs._Team_Tate,gate,2.9944758241853346, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Ultimate_Fighter:_Team_Rousey_vs._Team_Tate> <http://dbpedia.org/property/city> ?uri } 
Where was Sino-French War fought ?,Sino-French_War,combatant,3.2172542092518155, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Sino-French_War> <http://dbpedia.org/ontology/territory> ?uri } 
Who did Daniel Gibson marry?,Daniel_Gibson,spouse,2.222915410348146,SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/spouse> <http://dbpedia.org/resource/Daniel_Gibson>  . }
Name the team manger of Middlebrough F.C season 2006-07 ?,2006–07_SPHL_season,seasonslistnames,3.6481199375309243, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/2006–07_Middlesbrough_F.C._season> <http://dbpedia.org/ontology/manager> ?uri } 
Which companies were behind the renovation of McKechnie Field ?,McKechnie_Field,renovated,6.933759563809654, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/McKechnie_Field> <http://dbpedia.org/property/architect> ?uri } 
"Who was the coach of marquette Golden Eagles men's basketball team-2012,13 season ?",,,-inf, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/2012–13_Marquette_Golden_Eagles_men's_basketball_team> <http://dbpedia.org/ontology/coach> ?uri } 
List the ingredient of Blodpalt ?,Blodpalt,ingredient,6.640243748854024, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Blodpalt> <http://dbpedia.org/ontology/ingredient> ?uri } 
Who composed the music for Tonight's the Night ?,Tonight,isPrimaryTopicOf,0.0, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Tonight's_the_Night_(2003_musical)> <http://dbpedia.org/property/music> ?uri } 
Name the source of Raa ?,RAA,isPrimaryTopicOf,0.0, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Raša_(river)> <http://dbpedia.org/ontology/source> ?uri } 
Who is the producer of  Frampton's Camel ?,Tupolev_Tu-104,lists,2.880453045325041, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Frampton's_Camel> <http://dbpedia.org/property/producer> ?uri } 
Name the directors of Lennon Legend: The Very Best of John Lennon (DVD) ?,Lennon_Legend:_The_Very_Best_of_John_Lennon,certmonth,2.721426844927214, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Lennon_Legend:_The_Very_Best_of_John_Lennon_(DVD)> <http://dbpedia.org/ontology/director> ?uri } 
