query	entity	predicate	sparql_query
In which state is the Channel district?	Channel_District	country	2.9879293	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Channel_District> <http://dbpedia.org/ontology/state> ?uri } 
Where can one find the Dzogchen Ponolop Rinpoche?	Dzogchen	depiction	1.0118465	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Dzogchen_Ponlop_Rinpoche> <http://dbpedia.org/property/location> ?uri } 
What is the route end of Birmingham and Oxford Junction Railway ?	Birmingham	country	2.9879293	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Birmingham_and_Oxford_Junction_Railway> <http://dbpedia.org/ontology/routeEnd> ?uri } 
Where did Whitney Wistert debut?	Whitney_Museum_of_American_Art	location	2.9879293	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Whitey_Wistert> <http://dbpedia.org/property/debutteam> ?uri } 
Who are the current members of Insects vs Robots?	Robot	species	2.00199	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Insects_vs_Robots> <http://dbpedia.org/property/currentMembers> ?uri } 
Whihc uni did Joshua A. Siegel attend ?	Joshua	gender	2.9879293	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Joshua_A._Siegel> <http://dbpedia.org/property/education> ?uri } 
Name the nearest city to David W. Brown House ?	City	source	1.9977926	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/David_W._Brown_House> <http://dbpedia.org/ontology/nearestCity> ?uri } 
where did Deion Sanders debut?	Deion_Sanders	gender	2.9879293	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Deion_Sanders> <http://dbpedia.org/property/debutteam> ?uri } 
Who are the characters of Batman Live?	Batman_Live	name	1.0118465	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Batman_Live> <http://dbpedia.org/property/characters> ?uri } 
what awards have been given to A. Peter Dewey?	John_Dewey	gender	2.9879293	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/A._Peter_Dewey> <http://dbpedia.org/ontology/award> ?uri } 
What is the faith of Kwai Chang Caine ?	Kwai_Chang_Caine	nationality	2.9879293	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Kwai_Chang_Caine> <http://dbpedia.org/ontology/religion> ?uri } 
List the ethnicity of Riley Reid?	Riley_Reid	gender	2.9879293	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Riley_Reid> <http://dbpedia.org/property/ethnicity> ?uri } 
What are the hubs of PLUS Helicopter Services, a highway helicopter unit of PLUS Expressways?	PLUS_Expressways	location	2.9879293	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/PLUS_Expressways> <http://dbpedia.org/property/hubs> ?uri } 
Who is the partner of Rob Patterson?	Rob_Patterson	gender	2.9879293	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/partner> <http://dbpedia.org/resource/Rob_Patterson>  . }
To which american football teams does the Heinz Field serve as home stadium?	Association_football	region	2.9879293	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Heinz_Field> <http://dbpedia.org/property/tenants> ?uri } 
